Date,Freq.
29-Jan,16
30-Jan,16
31-Jan,16
1-Feb,51
2-Feb,31
3-Feb,26
4-Feb,21
5-Feb,26
6-Feb,26
7-Feb,21
8-Feb,11
9-Feb,16
10-Feb,65
11-Feb,26
12-Feb,41
13-Feb,46
14-Feb,65
15-Feb,143
16-Feb,85
17-Feb,129
18-Feb,168
19-Feb,134
20-Feb,402
21-Feb,309
22-Feb,387
23-Feb,534
24-Feb,695
25-Feb,846
26-Feb,812
27-Feb,900
28-Feb,1213
29-Feb,1076
1-Mar,2477
2-Mar,1920
3-Mar,2248
4-Mar,1960
5-Mar,2653
6-Mar,2995
7-Mar,3156
8-Mar,3629
9-Mar,4459
10-Mar,6129
11-Mar,4269
12-Mar,4777
13-Mar,5221
14-Mar,4664
15-Mar,5685
16-Mar,5197
17-Mar,4284
18-Mar,4674
19-Mar,4020
20-Mar,5919
21-Mar,3546
22-Mar,3493
23-Mar,4088
24-Mar,3258
25-Mar,3595
26-Mar,3024
27-Mar,3283
28-Mar,2877
29-Mar,2204
30-Mar,3361
31-Mar,2379
1-Apr,3761
2-Apr,2399
3-Apr,2555
4-Apr,2082
5-Apr,1842
6-Apr,2169
7-Apr,2013
8-Apr,1935
9-Apr,1784
10-Apr,2545
11-Apr,1393
12-Apr,1486
13-Apr,1369
14-Apr,1593
15-Apr,1950
16-Apr,1530
17-Apr,1408
18-Apr,1159
19-Apr,871
20-Apr,1857
21-Apr,1169
22-Apr,1100
23-Apr,1134
24-Apr,978
25-Apr,768
26-Apr,592
27-Apr,1120
28-Apr,837
29-Apr,900
30-Apr,822
1-May,539
2-May,441
3-May,309
4-May,573
5-May,568
6-May,539
7-May,466
8-May,514
9-May,236
10-May,270
11-May,378
12-May,412
13-May,383
14-May,309
15-May,304
16-May,221
17-May,138
18-May,309
19-May,236
20-May,300
21-May,241
22-May,275
23-May,138
24-May,90
25-May,173
26-May,197
27-May,217
28-May,153
29-May,148
30-May,124
31-May,26
1-Jun,129
2-Jun,26
3-Jun,75
4-Jun,46
5-Jun,36
6-Jun,
7-Jun,
