Date,Freq.
29-gen,7
30-gen,
31-gen,
01-feb,
02-feb,
03-feb,
04-feb,
05-feb,
06-feb,
07-feb,
08-feb,
09-feb,
10-feb,
11-feb,
12-feb,
13-feb,
14-feb,
15-feb,
16-feb,
17-feb,
18-feb,
19-feb,
20-feb,7
21-Feb,36
22-Feb,55
23-Feb,75
24-Feb,90
25-Feb,197
26-Feb,280
27-Feb,290
28-Feb,359
29-Feb,373
1-Mar,407
2-Mar,637
3-Mar,818
4-Mar,1082
5-Mar,1312
6-Mar,1547
7-Mar,1419
8-Mar,1473
9-Mar,2236
10-Mar,2480
11-Mar,2783
12-Mar,3170
13-Mar,4133
14-Mar,3571
15-Mar,2871
16-Mar,4822
17-Mar,5321
18-Mar,5688
19-Mar,5668
20-Mar,6220
21-Mar,4900
22-Mar,3928
23-Mar,6064
24-Mar,5873
25-Mar,5751
26-Mar,5634
27-Mar,5751
28-Mar,4509
29-Mar,2945
30-Mar,5086
31-Mar,5301
1-Apr,4993
2-Apr,4690
3-Apr,4416
4-Apr,3664
5-Apr,2598
6-Apr,4045
7-Apr,4187
8-Apr,4764
9-Apr,4676
10-Apr,5130
11-Apr,3390
12-Apr,1908
13-Apr,2221
14-Apr,3282
15-Apr,3976
16-Apr,3639
17-Apr,3473
18-Apr,2666
19-Apr,1366
20-Apr,3045
21-Apr,3043
22-Apr,2598
23-Apr,2823
24-Apr,2695
25-Apr,1664
26-Apr,1014
27-Apr,1962
28-Apr,2231
29-Apr,2309
30-Apr,2265
1-May,1107
2-May,994
3-May,515
4-May,1444
5-May,1542
6-May,1419
7-May,1390
8-May,1371
9-May,740
10-May,363
11-May,906
12-May,926
13-May,891
14-May,906
15-May,789
16-May,627
17-mag,300
18-mag,662
19-mag,725
20-mag,676
21-mag,613
22-mag,691
23-mag,363
24-mag,143
25-mag,530
26-mag,574
27-mag,544
28-mag,525
29-mag,378
30-mag,290
31-mag,85
01-giu,393
02-giu,85
03-giu,354
04-giu,373
05-giu,388
06-giu,202
07-giu,80
08-giu,300
09-giu,373
10-giu,398
11-giu,447
12-giu,359
13-giu,212
14-giu,65
15-giu,246
16-giu,168
17-giu,70
