Date,Freq.
29-Jan,12
30-Jan,17
31-Jan,17
1-Feb,51
2-Feb,31
3-Feb,27
4-Feb,22
5-Feb,27
6-Feb,27
7-Feb,22
8-Feb,12
9-Feb,17
10-Feb,61
11-Feb,27
12-Feb,41
13-Feb,46
14-Feb,66
15-Feb,144
16-Feb,85
17-Feb,129
18-Feb,168
19-Feb,129
20-Feb,402
21-Feb,309
22-Feb,387
23-Feb,533
24-Feb,694
25-Feb,845
26-Feb,806
27-Feb,894
28-Feb,1206
29-Feb,1074
1-Mar,2453
2-Mar,1912
3-Mar,2229
4-Mar,1951
5-Mar,2643
6-Mar,2989
7-Mar,3145
8-Mar,3613
9-Mar,4441
10-Mar,6098
11-Mar,4237
12-Mar,4748
13-Mar,5192
14-Mar,4631
15-Mar,5620
16-Mar,5153
17-Mar,4251
18-Mar,4646
19-Mar,3998
20-Mar,5898
21-Mar,3530
22-Mar,3476
23-Mar,4071
24-Mar,3238
25-Mar,3559
26-Mar,3009
27-Mar,3257
28-Mar,2843
29-Mar,2185
30-Mar,3335
31-Mar,2370
1-Apr,3735
2-Apr,2380
3-Apr,2531
4-Apr,2068
5-Apr,1834
6-Apr,2156
7-Apr,1971
8-Apr,1907
9-Apr,1732
10-Apr,2516
11-Apr,1367
12-Apr,1469
13-Apr,1357
14-Apr,1552
15-Apr,1922
16-Apr,1493
17-Apr,1371
18-Apr,1108
19-Apr,811
20-Apr,1795
21-Apr,1113
22-Apr,1045
23-Apr,991
24-Apr,889
25-Apr,733
26-Apr,572
27-Apr,1021
28-Apr,767
29-Apr,821
30-Apr,714
1-May,524
2-May,426
3-May,299
4-May,499
5-May,485
6-May,524
7-May,441
8-May,509
9-May,231
10-May,265
11-May,373
12-May,407
13-May,373
14-May,304
15-May,295
16-May,221
17-May,134
18-May,299
19-May,231
20-May,290
21-May,221
22-May,270
23-May,134
24-May,85
25-May,158
26-May,168
27-May,178
28-May,109
29-May,80
30-May,51
31-May,
1-Jun,
2-Jun,
3-Jun,
