Date,Freq.
29-gen,7
30-gen,
31-gen,
01-feb,
02-feb,
03-feb,
04-feb,
05-feb,
06-feb,
07-feb,
08-feb,
09-feb,
10-feb,
11-feb,
12-feb,
13-feb,
14-feb,
15-feb,
16-feb,
17-feb,
18-feb,
19-feb,
20-feb,7
21-Feb,37
22-Feb,56
23-Feb,76
24-Feb,90
25-Feb,198
26-Feb,276
27-Feb,291
28-Feb,359
29-Feb,374
1-Mar,408
2-Mar,638
3-Mar,818
4-Mar,1082
5-Mar,1312
6-Mar,1551
7-Mar,1414
8-Mar,1478
9-Mar,2235
10-Mar,2479
11-Mar,2782
12-Mar,3168
13-Mar,4135
14-Mar,3574
15-Mar,2870
16-Mar,4824
17-Mar,5318
18-Mar,5684
19-Mar,5665
20-Mar,6217
21-Mar,4893
22-Mar,3935
23-Mar,6070
24-Mar,5870
25-Mar,5743
26-Mar,5626
27-Mar,5753
28-Mar,4497
29-Mar,2953
30-Mar,5083
31-Mar,5303
1-Apr,4990
2-Apr,4683
3-Apr,4419
4-Apr,3662
5-Apr,2597
6-Apr,4048
7-Apr,4184
8-Apr,4761
9-Apr,4673
10-Apr,5132
11-Apr,3388
12-Apr,1913
13-Apr,2216
14-Apr,3285
15-Apr,3974
16-Apr,3637
17-Apr,3471
18-Apr,2665
19-Apr,1365
20-Apr,3046
21-Apr,3041
22-Apr,2597
23-Apr,2826
24-Apr,2694
25-Apr,1663
26-Apr,1019
27-Apr,1961
28-Apr,2235
29-Apr,2308
30-Apr,2269
1-May,1107
2-May,989
3-May,515
4-May,1439
5-May,1541
6-May,1419
7-May,1390
8-May,1370
9-May,745
10-May,364
11-May,906
12-May,926
13-May,892
14-May,911
15-May,784
16-May,623
17-mag,300
18-mag,667
19-mag,725
20-mag,677
21-mag,613
22-mag,691
23-mag,364
24-mag,144
25-mag,530
26-mag,574
27-mag,540
28-mag,525
29-mag,379
30-mag,281
31-mag,85
01-giu,388
02-giu,85
03-giu,330
04-giu,357
05-giu,354
06-giu,188
07-giu,81
08-giu,281
09-giu,359
10-giu,337
11-giu,339
12-giu,125
13-giu,41
