Date,Freq.
20-feb,5
21-feb,34
22-feb,54
23-feb,73
24-feb,88
25-feb,200
26-feb,278
27-feb,288
28-feb,361
29-feb,371
01-mar,405
02-mar,634
03-mar,815
04-mar,1083
05-mar,1312
06-mar,1551
07-mar,1405
08-mar,1478
09-mar,2233
10-mar,2438
11-mar,2760
12-mar,3150
13-mar,4130
14-mar,3560
15-mar,2858
16-mar,4803
17-mar,5315
18-mar,5671
19-mar,5656
20-mar,6203
21-mar,4871
22-mar,3935
23-mar,6051
24-mar,5866
25-mar,5739
26-mar,5583
27-mar,5700
28-mar,4491
29-mar,2936
30-mar,5047
31-mar,5281
01-apr,5008
02-apr,4676
03-apr,4394
04-apr,3633
05-apr,2589
06-apr,4033
07-apr,4160
08-apr,4740
09-apr,4662
10-apr,5120
11-apr,3379
12-apr,1873
13-apr,2199
14-apr,3223
15-apr,3960
16-apr,3594
17-apr,3457
18-apr,2628
19-apr,1351
20-apr,2984
21-apr,3019
22-apr,2604
23-apr,2809
24-apr,2677
25-apr,1668
26-apr,1010
27-apr,1941
28-apr,2229
29-apr,2268
30-apr,2258
1-May,1107
2-May,990
3-May,502
4-May,1429
5-May,1531
6-May,1395
7-May,1341
8-May,1331
9-May,727
10-May,342
11-May,863
12-May,863
13-May,858
14-May,815
15-May,741
16-May,532
17-mag,268
18-mag,580
19-mag,488
20-mag,259
21-mag,49
22-mag,
