Date,Freq.
29-gen,7
30-gen,
31-gen,
01-feb,
02-feb,
03-feb,
04-feb,
05-feb,
06-feb,
07-feb,
08-feb,
09-feb,
10-feb,
11-feb,
12-feb,
13-feb,
14-feb,
15-feb,
16-feb,
17-feb,
18-feb,
19-feb,
20-feb,7
21-Feb,36
22-Feb,55
23-Feb,75
24-Feb,90
25-Feb,197
26-Feb,280
27-Feb,290
28-Feb,358
29-Feb,373
1-Mar,407
2-Mar,636
3-Mar,812
4-Mar,1081
5-Mar,1310
6-Mar,1549
7-Mar,1413
8-Mar,1476
9-Mar,2233
10-Mar,2467
11-Mar,2770
12-Mar,3151
13-Mar,4127
14-Mar,3566
15-Mar,2863
16-Mar,4816
17-Mar,5323
18-Mar,5680
19-Mar,5665
20-Mar,6212
21-Mar,4894
22-Mar,3932
23-Mar,6070
24-Mar,5870
25-Mar,5748
26-Mar,5621
27-Mar,5748
28-Mar,4498
29-Mar,2946
30-Mar,5084
31-Mar,5309
1-Apr,4987
2-Apr,4679
3-Apr,4410
4-Apr,3659
5-Apr,2594
6-Apr,4054
7-Apr,4181
8-Apr,4762
9-Apr,4679
10-Apr,5133
11-Apr,3390
12-Apr,1891
13-Apr,2218
14-Apr,3278
15-Apr,3976
16-Apr,3624
17-Apr,3468
18-Apr,2663
19-Apr,1369
20-Apr,3043
21-Apr,3043
22-Apr,2599
23-Apr,2824
24-Apr,2697
25-Apr,1662
26-Apr,1017
27-Apr,1964
28-Apr,2233
29-Apr,2311
30-Apr,2267
1-May,1105
2-May,988
3-May,514
4-May,1442
5-May,1540
6-May,1413
7-May,1374
8-May,1374
9-May,754
10-May,368
11-May,910
12-May,929
13-May,895
14-May,910
15-May,788
16-May,617
17-mag,295
18-mag,661
19-mag,729
20-mag,680
21-mag,617
22-mag,695
23-mag,358
24-mag,143
25-mag,539
26-mag,578
27-mag,539
28-mag,524
29-mag,373
30-mag,285
31-mag,85
01-giu,397
02-giu,85
03-giu,309
04-giu,363
05-giu,343
06-giu,163
07-giu,70
08-giu,80
09-giu,
10-giu,
