Date,Freq.
29-gen,4
30-gen,
31-gen,
01-feb,
02-feb,
03-feb,
04-feb,
05-feb,
06-feb,
07-feb,
08-feb,
09-feb,
10-feb,
11-feb,
12-feb,
13-feb,
14-feb,
15-feb,
16-feb,
17-feb,
18-feb,
19-feb,
20-feb,4
21-Feb,33
22-Feb,53
23-Feb,72
24-Feb,87
25-Feb,194
26-Feb,278
27-Feb,287
28-Feb,356
29-Feb,371
1-Mar,405
2-Mar,635
3-Mar,816
4-Mar,1080
5-Mar,1310
6-Mar,1549
7-Mar,1417
8-Mar,1471
9-Mar,2229
10-Mar,2478
11-Mar,2782
12-Mar,3168
13-Mar,4127
14-Mar,3574
15-Mar,2865
16-Mar,4821
17-Mar,5315
18-Mar,5682
19-Mar,5667
20-Mar,6220
21-Mar,4899
22-Mar,3926
23-Mar,6063
24-Mar,5873
25-Mar,5750
26-Mar,5633
27-Mar,5746
28-Mar,4508
29-Mar,2943
30-Mar,5085
31-Mar,5300
1-Apr,4992
2-Apr,4689
3-Apr,4415
4-Apr,3662
5-Apr,2596
6-Apr,4044
7-Apr,4185
8-Apr,4762
9-Apr,4674
10-Apr,5124
11-Apr,3388
12-Apr,1906
13-Apr,2219
14-Apr,3281
15-Apr,3975
16-Apr,3638
17-Apr,3471
18-Apr,2664
19-Apr,1363
20-Apr,3046
21-Apr,3041
22-Apr,2596
23-Apr,2821
24-Apr,2689
25-Apr,1662
26-Apr,1011
27-Apr,1960
28-Apr,2224
29-Apr,2307
30-Apr,2263
1-May,1104
2-May,992
3-May,512
4-May,1437
5-May,1539
6-May,1417
7-May,1393
8-May,1368
9-May,737
10-May,361
11-May,904
12-May,923
13-May,889
14-May,904
15-May,786
16-May,620
17-mag,297
18-mag,659
19-mag,723
20-mag,674
21-mag,610
22-mag,688
23-mag,361
24-mag,141
25-mag,527
26-mag,571
27-mag,542
28-mag,522
29-mag,375
30-mag,287
31-mag,82
01-giu,390
02-giu,87
03-giu,351
04-giu,371
05-giu,385
06-giu,199
07-giu,77
08-giu,297
09-giu,371
10-giu,395
11-giu,444
12-giu,366
13-giu,209
14-giu,67
15-giu,273
16-giu,263
17-giu,278
18-giu,185
19-giu,121
20-giu,38
21-giu,
22-giu,
