data,inizio sintomi,prelievo/diagnosi
28/01/2020,9,
29/01/2020,11,2
30/01/2020,17,
31/01/2020,17,
01/02/2020,64,
02/02/2020,29,
03/02/2020,25,
04/02/2020,21,
05/02/2020,28,
06/02/2020,26,1
07/02/2020,20,
08/02/2020,11,
09/02/2020,14,
10/02/2020,63,
11/02/2020,25,
12/02/2020,42,
13/02/2020,47,
14/02/2020,64,
15/02/2020,149,
16/02/2020,81,
17/02/2020,135,
18/02/2020,167,
19/02/2020,131,
20/02/2020,417,3
21/02/2020,312,34
22/02/2020,393,54
23/02/2020,539,75
24/02/2020,710,87
25/02/2020,854,195
26/02/2020,823,279
27/02/2020,918,285
28/02/2020,1256,359
29/02/2020,1099,368
01/03/2020,2591,411
02/03/2020,1976,639
03/03/2020,2314,813
04/03/2020,2009,1089
05/03/2020,2713,1311
06/03/2020,3020,1546
07/03/2020,3195,1415
08/03/2020,3709,1470
09/03/2020,4509,2238
10/03/2020,6276,2487
11/03/2020,4310,2784
12/03/2020,4837,3171
13/03/2020,5287,4137
14/03/2020,4696,3568
15/03/2020,5859,2869
16/03/2020,5208,4846
17/03/2020,4309,5338
18/03/2020,4691,5712
19/03/2020,4026,5713
20/03/2020,5953,6239
21/03/2020,3560,4912
22/03/2020,3502,3947
23/03/2020,4130,6090
24/03/2020,3316,5901
25/03/2020,3649,5786
26/03/2020,3062,5667
27/03/2020,3342,5749
28/03/2020,2929,4524
29/03/2020,2242,2974
30/03/2020,3407,5097
31/03/2020,2401,5323
01/04/2020,3855,5000
02/04/2020,2452,4712
03/04/2020,2594,4463
04/04/2020,2128,3647
05/04/2020,1873,2594
06/04/2020,2220,4056
07/04/2020,2061,4198
08/04/2020,1960,4758
09/04/2020,1829,4680
10/04/2020,2589,5123
11/04/2020,1434,3382
12/04/2020,1513,1918
13/04/2020,1380,2234
14/04/2020,1623,3299
15/04/2020,1993,3960
16/04/2020,1540,3666
17/04/2020,1437,3458
18/04/2020,1206,2656
19/04/2020,877,1374
20/04/2020,1885,3054
21/04/2020,1173,3049
22/04/2020,1115,2600
23/04/2020,1148,2820
24/04/2020,992,2688
25/04/2020,781,1656
26/04/2020,608,1024
27/04/2020,1111,1952
28/04/2020,833,2228
29/04/2020,905,2303
30/04/2020,846,2267
01/05/2020,569,1107
02/05/2020,460,1001
03/05/2020,311,514
04/05/2020,603,1437
05/05/2020,605,1544
06/05/2020,579,1429
07/05/2020,511,1387
08/05/2020,505,1378
09/05/2020,264,737
10/05/2020,305,335
11/05/2020,398,883
12/05/2020,444,925
13/05/2020,397,880
14/05/2020,347,901
15/05/2020,349,788
16/05/2020,262,616
17/05/2020,156,299
18/05/2020,330,652
19/05/2020,269,722
20/05/2020,353,667
21/05/2020,268,613
22/05/2020,305,686
23/05/2020,151,364
24/05/2020,95,148
25/05/2020,213,511
26/05/2020,225,541
27/05/2020,255,535
28/05/2020,199,518
29/05/2020,187,391
30/05/2020,149,285
31/05/2020,47,91
01/06/2020,206,388
02/06/2020,47,86
03/06/2020,160,353
04/06/2020,160,371
05/06/2020,206,384
06/06/2020,106,201
07/06/2020,66,82
08/06/2020,184,294
09/06/2020,178,359
10/06/2020,155,398
11/06/2020,199,442
12/06/2020,178,365
13/06/2020,88,214
14/06/2020,83,67
15/06/2020,169,277
16/06/2020,129,274
17/06/2020,149,301
18/06/2020,124,236
19/06/2020,146,289
20/06/2020,87,155
21/06/2020,52,52
22/06/2020,123,313
23/06/2020,114,290
24/06/2020,97,194
25/06/2020,90,197
26/06/2020,128,183
27/06/2020,80,119
28/06/2020,40,62
29/06/2020,128,237
30/06/2020,91,197
01/07/2020,140,235
02/07/2020,124,253
03/07/2020,121,233
04/07/2020,90,217
05/07/2020,45,75
06/07/2020,133,239
07/07/2020,89,222
08/07/2020,95,271
09/07/2020,80,203
10/07/2020,106,241
11/07/2020,59,154
12/07/2020,21,54
13/07/2020,36,144
14/07/2020,21,108
15/07/2020,2,31
