Date,Freq.
29-Jan,16
30-Jan,16
31-Jan,16
1-Feb,51
2-Feb,31
3-Feb,26
4-Feb,23
5-Feb,25
6-Feb,26
7-Feb,21
8-Feb,11
9-Feb,16
10-Feb,65
11-Feb,26
12-Feb,41
13-Feb,46
14-Feb,65
15-Feb,143
16-Feb,85
17-Feb,129
18-Feb,168
19-Feb,134
20-Feb,407
21-Feb,309
22-Feb,387
23-Feb,534
24-Feb,700
25-Feb,846
26-Feb,807
27-Feb,905
28-Feb,1217
29-Feb,1076
1-Mar,2482
2-Mar,1925
3-Mar,2252
4-Mar,1964
5-Mar,2653
6-Mar,2999
7-Mar,3165
8-Mar,3639
9-Mar,4474
10-Mar,6153
11-Mar,4284
12-Mar,4791
13-Mar,5240
14-Mar,4669
15-Mar,5699
16-Mar,5206
17-Mar,4288
18-Mar,4689
19-Mar,4025
20-Mar,5939
21-Mar,3556
22-Mar,3497
23-Mar,4098
24-Mar,3273
25-Mar,3605
26-Mar,3034
27-Mar,3292
28-Mar,2882
29-Mar,2213
30-Mar,3361
31-Mar,2384
1-Apr,3771
2-Apr,2404
3-Apr,2565
4-Apr,2091
5-Apr,1847
6-Apr,2174
7-Apr,2028
8-Apr,1935
9-Apr,1789
10-Apr,2560
11-Apr,1408
12-Apr,1491
13-Apr,1374
14-Apr,1603
15-Apr,1960
16-Apr,1535
17-Apr,1413
18-Apr,1193
19-Apr,881
20-Apr,1862
21-Apr,1164
22-Apr,1105
23-Apr,1144
24-Apr,993
25-Apr,773
26-Apr,607
27-Apr,1125
28-Apr,837
29-Apr,905
30-Apr,832
1-May,558
2-May,451
3-May,324
4-May,597
5-May,588
6-May,553
7-May,480
8-May,524
9-May,246
10-May,280
11-May,387
12-May,426
13-May,392
14-May,334
15-May,319
16-May,241
17-May,148
18-May,319
19-May,256
20-May,314
21-May,256
22-May,290
23-May,143
24-May,94
25-May,192
26-May,212
27-May,236
28-May,168
29-May,168
30-May,134
31-May,41
1-Jun,163
2-Jun,41
3-Jun,119
4-Jun,90
5-Jun,104
6-Jun,41
7-Jun,0
8-Jun,16
9-Jun,
