Date,Freq.
29-Jan,16
30-Jan,16
31-Jan,16
1-Feb,55
2-Feb,31
3-Feb,26
4-Feb,21
5-Feb,31
6-Feb,26
7-Feb,21
8-Feb,11
9-Feb,16
10-Feb,65
11-Feb,26
12-Feb,41
13-Feb,46
14-Feb,65
15-Feb,143
16-Feb,85
17-Feb,129
18-Feb,168
19-Feb,134
20-Feb,407
21-Feb,310
22-Feb,383
23-Feb,535
24-Feb,701
25-Feb,852
26-Feb,813
27-Feb,911
28-Feb,1234
29-Feb,1082
1-Mar,2519
2-Mar,1952
3-Mar,2280
4-Mar,1982
5-Mar,2681
6-Mar,3023
7-Mar,3184
8-Mar,3668
9-Mar,4504
10-Mar,6220
11-Mar,4319
12-Mar,4827
13-Mar,5277
14-Mar,4690
15-Mar,5776
16-Mar,5233
17-Mar,4314
18-Mar,4720
19-Mar,4050
20-Mar,5981
21-Mar,3576
22-Mar,3532
23-Mar,4133
24-Mar,3297
25-Mar,3629
26-Mar,3067
27-Mar,3316
28-Mar,2906
29-Mar,2226
30-Mar,3385
31-Mar,2407
1-Apr,3815
2-Apr,2446
3-Apr,2593
4-Apr,2109
5-Apr,1864
6-Apr,2197
7-Apr,2050
8-Apr,1952
9-Apr,1801
10-Apr,2563
11-Apr,1424
12-Apr,1498
13-Apr,1385
14-Apr,1620
15-Apr,1977
16-Apr,1542
17-Apr,1429
18-Apr,1195
19-Apr,887
20-Apr,1869
21-Apr,1175
22-Apr,1111
23-Apr,1146
24-Apr,999
25-Apr,779
26-Apr,603
27-Apr,1121
28-Apr,838
29-Apr,916
30-Apr,838
1-May,569
2-May,456
3-May,319
4-May,603
5-May,593
6-May,579
7-May,515
8-May,515
9-May,275
10-May,300
11-May,403
12-May,447
13-May,407
14-May,363
15-May,349
16-May,256
17-May,158
18-May,329
19-May,266
20-May,349
21-May,271
22-May,305
23-May,148
24-May,95
25-May,212
26-May,227
27-May,251
28-May,197
29-May,187
30-May,148
31-May,51
1-Jun,197
2-Jun,46
3-Jun,153
4-Jun,143
5-Jun,192
6-Jun,104
7-Jun,65
8-Jun,168
9-Jun,158
10-Jun,124
11-Jun,178
12-Jun,148
13-Jun,60
14-Jun,51
15-Jun,75
16-Jun,36
17-Jun,
18-Jun,
19-Jun,
