Date,Freq.
29-Jan,17
30-Jan,17
31-Jan,17
1-Feb,56
2-Feb,32
3-Feb,30
4-Feb,25
5-Feb,26
6-Feb,25
7-Feb,22
8-Feb,12
9-Feb,17
10-Feb,66
11-Feb,27
12-Feb,44
13-Feb,46
14-Feb,66
15-Feb,144
16-Feb,85
17-Feb,129
18-Feb,169
19-Feb,129
20-Feb,408
21-Feb,310
22-Feb,383
23-Feb,535
24-Feb,701
25-Feb,852
26-Feb,813
27-Feb,906
28-Feb,1224
29-Feb,1082
1-Mar,2499
2-Mar,1937
3-Mar,2264
4-Mar,1976
5-Mar,2665
6-Mar,3012
7-Mar,3178
8-Mar,3647
9-Mar,4492
10-Mar,6192
11-Mar,4297
12-Mar,4810
13-Mar,5264
14-Mar,4688
15-Mar,5728
16-Mar,5220
17-Mar,4297
18-Mar,4707
19-Mar,4038
20-Mar,5963
21-Mar,3569
22-Mar,3510
23-Mar,4116
24-Mar,3285
25-Mar,3608
26-Mar,3051
27-Mar,3300
28-Mar,2895
29-Mar,2220
30-Mar,3364
31-Mar,2396
1-Apr,3784
2-Apr,2411
3-Apr,2577
4-Apr,2093
5-Apr,1854
6-Apr,2186
7-Apr,2040
8-Apr,1947
9-Apr,1800
10-Apr,2567
11-Apr,1419
12-Apr,1492
13-Apr,1380
14-Apr,1610
15-Apr,1971
16-Apr,1546
17-Apr,1424
18-Apr,1194
19-Apr,887
20-Apr,1869
21-Apr,1175
22-Apr,1107
23-Apr,1146
24-Apr,999
25-Apr,774
26-Apr,608
27-Apr,1126
28-Apr,843
29-Apr,911
30-Apr,843
1-May,574
2-May,457
3-May,330
4-May,613
5-May,586
6-May,584
7-May,520
8-May,530
9-May,276
10-May,300
11-May,403
12-May,442
13-May,408
14-May,364
15-May,339
16-May,252
17-May,154
18-May,330
19-May,261
20-May,339
21-May,266
22-May,305
23-May,149
24-May,95
25-May,203
26-May,222
27-May,252
28-May,193
29-May,183
30-May,144
31-May,46
1-Jun,188
2-Jun,46
3-Jun,149
4-Jun,129
5-Jun,173
6-Jun,90
7-Jun,51
8-Jun,139
9-Jun,105
10-Jun,81
11-Jun,46
12-Jun,22
13-Jun,
14-Jun,
