Date,Freq.
29-Jan,13
30-Jan,18
31-Jan,18
1-Feb,52
2-Feb,32
3-Feb,27
4-Feb,23
5-Feb,27
6-Feb,27
7-Feb,23
8-Feb,13
9-Feb,18
10-Feb,62
11-Feb,27
12-Feb,42
13-Feb,47
14-Feb,66
15-Feb,140
16-Feb,86
17-Feb,130
18-Feb,169
19-Feb,130
20-Feb,398
21-Feb,310
22-Feb,388
23-Feb,529
24-Feb,695
25-Feb,841
26-Feb,802
27-Feb,890
28-Feb,1197
29-Feb,1070
1-Mar,2430
2-Mar,1904
3-Mar,2211
4-Mar,1938
5-Mar,2625
6-Mar,2966
7-Mar,3122
8-Mar,3585
9-Mar,4389
10-Mar,6021
11-Mar,4208
12-Mar,4725
13-Mar,5159
14-Mar,4603
15-Mar,5573
16-Mar,5086
17-Mar,4228
18-Mar,4618
19-Mar,3965
20-Mar,5851
21-Mar,3516
22-Mar,3458
23-Mar,4048
24-Mar,3205
25-Mar,3531
26-Mar,2966
27-Mar,3219
28-Mar,2805
29-Mar,2176
30-Mar,3307
31-Mar,2318
1-Apr,3687
2-Apr,2352
3-Apr,2508
4-Apr,2055
5-Apr,1816
6-Apr,2118
7-Apr,1952
8-Apr,1884
9-Apr,1709
10-Apr,2440
11-Apr,1329
12-Apr,1455
13-Apr,1343
14-Apr,1528
15-Apr,1869
16-Apr,1465
17-Apr,1338
18-Apr,1085
19-Apr,773
20-Apr,1709
21-Apr,1041
22-Apr,997
23-Apr,914
24-Apr,846
25-Apr,724
26-Apr,568
27-Apr,997
28-Apr,739
29-Apr,710
30-Apr,651
1-May,490
2-May,412
3-May,291
4-May,456
5-May,451
6-May,500
7-May,422
8-May,495
9-May,227
10-May,252
11-May,359
12-May,398
13-May,369
14-May,291
15-May,276
16-May,218
17-May,130
18-May,295
19-May,218
20-May,266
21-May,169
22-May,242
23-May,130
24-May,71
25-May,105
26-May,57
27-May,
28-May,
29-May,
