Date,Freq.
27-Jan,
28-Jan,
29-Jan,9
30-Jan,14
31-Jan,14
01-feb,38
02-feb,24
03-feb,19
04-feb,19
05-feb,24
06-feb,19
07-feb,19
08-feb,9
09-feb,14
10-feb,58
11-feb,24
12-feb,38
13-feb,43
14-feb,63
15-feb,126
16-feb,77
17-feb,126
18-feb,160
19-feb,126
20-feb,389
21-feb,301
22-feb,384
23-feb,525
24-feb,676
25-feb,822
26-feb,788
27-feb,866
28-feb,1167
29-feb,1046
01-mar,2287
02-mar,1868
03-mar,2141
04-mar,1878
05-mar,2520
06-mar,2871
07-mar,3012
08-mar,3489
09-mar,4262
10-mar,5844
11-mar,4116
12-mar,4603
13-mar,4992
14-mar,4462
15-mar,5362
16-mar,4885
17-mar,3995
18-mar,4340
19-mar,3776
20-mar,5523
21-mar,3323
22-mar,3275
23-mar,3839
24-mar,3007
25-mar,3314
26-mar,2759
27-mar,2963
28-mar,2579
29-mar,2004
30-mar,3036
31-mar,2175
01-apr,3425
02-apr,2214
03-apr,2292
04-apr,1883
05-apr,1664
06-apr,1946
07-apr,1766
08-apr,1698
09-apr,1528
10-apr,2199
11-apr,1148
12-apr,1250
13-apr,1099
14-apr,1274
15-apr,1455
16-apr,1138
17-apr,1065
18-apr,832
19-apr,569
20-apr,1240
21-apr,705
22-apr,715
23-apr,725
24-apr,695
25-apr,506
26-apr,408
27-apr,637
28-apr,496
29-apr,486
30-apr,472
1-May,301
2-May,282
3-May,199
4-May,326
5-May,277
6-May,306
7-May,287
8-May,243
9-May,107
10-May,92
11-May,126
12-May,68
13-May,14
14-May,
15-May,
16-May,
