Date,Freq.
29-Jan,8
30-Jan,13
31-Jan,13
01-feb,38
02-feb,23
03-feb,18
04-feb,18
05-feb,23
06-feb,18
07-feb,18
08-feb,8
09-feb,13
10-feb,57
11-feb,23
12-feb,38
13-feb,43
14-feb,62
15-feb,125
16-feb,77
17-feb,125
18-feb,159
19-feb,125
20-feb,388
21-feb,301
22-feb,383
23-feb,525
24-feb,675
25-feb,826
26-feb,787
27-feb,865
28-feb,1167
29-feb,1050
01-mar,2302
02-mar,1873
03-mar,2151
04-mar,1888
05-mar,2540
06-mar,2905
07-mar,3027
08-mar,3504
09-mar,4307
10-mar,5875
11-mar,4127
12-mar,4624
13-mar,5033
14-mar,4483
15-mar,5408
16-mar,4921
17-mar,4030
18-mar,4400
19-mar,3825
20-mar,5646
21-mar,3382
22-mar,3295
23-mar,3860
24-mar,3051
25-mar,3348
26-mar,2798
27-mar,3012
28-mar,2618
29-mar,2044
30-mar,3100
31-mar,2209
01-apr,3514
02-apr,2238
03-apr,2336
04-apr,1936
05-apr,1693
06-apr,2009
07-apr,1839
08-apr,1771
09-apr,1586
10-apr,2292
11-apr,1216
12-apr,1357
13-apr,1157
14-apr,1357
15-apr,1649
16-apr,1328
17-apr,1177
18-apr,924
19-apr,661
20-apr,1435
21-apr,875
22-apr,817
23-apr,802
24-apr,773
25-apr,588
26-apr,495
27-apr,768
28-apr,573
29-apr,583
30-apr,549
1-May,359
2-May,315
3-May,223
4-May,378
5-May,354
6-May,349
7-May,335
8-May,305
9-May,130
10-May,135
11-May,203
12-May,198
13-May,164
14-May,82
15-May,38
