Date,Freq.
29-Jan,12
30-Jan,17
31-Jan,17
1-Feb,41
2-Feb,32
3-Feb,27
4-Feb,22
5-Feb,27
6-Feb,27
7-Feb,22
8-Feb,12
9-Feb,17
10-Feb,61
11-Feb,27
12-Feb,41
13-Feb,46
14-Feb,66
15-Feb,134
16-Feb,80
17-Feb,129
18-Feb,168
19-Feb,129
20-Feb,397
21-Feb,309
22-Feb,387
23-Feb,528
24-Feb,689
25-Feb,835
26-Feb,796
27-Feb,879
28-Feb,1181
29-Feb,1069
1-Mar,2374
2-Mar,1892
3-Mar,2194
4-Mar,1931
5-Mar,2598
6-Mar,2958
7-Mar,3085
8-Mar,3557
9-Mar,4371
10-Mar,5992
11-Mar,4186
12-Mar,4697
13-Mar,5140
14-Mar,4575
15-Mar,5544
16-Mar,5062
17-Mar,4161
18-Mar,4590
19-Mar,3952
20-Mar,5817
21-Mar,3509
22-Mar,3441
23-Mar,4035
24-Mar,3182
25-Mar,3494
26-Mar,2934
27-Mar,3168
28-Mar,2768
29-Mar,2160
30-Mar,3251
31-Mar,2286
1-Apr,3665
2-Apr,2335
3-Apr,2496
4-Apr,2033
5-Apr,1814
6-Apr,2126
7-Apr,1945
8-Apr,1877
9-Apr,1687
10-Apr,2413
11-Apr,1303
12-Apr,1429
13-Apr,1332
14-Apr,1522
15-Apr,1853
16-Apr,1454
17-Apr,1327
18-Apr,1074
19-Apr,772
20-Apr,1707
21-Apr,1035
22-Apr,976
23-Apr,889
24-Apr,840
25-Apr,713
26-Apr,558
27-Apr,986
28-Apr,699
29-Apr,694
30-Apr,640
1-May,485
2-May,407
3-May,280
4-May,441
5-May,450
6-May,494
7-May,416
8-May,494
9-May,222
10-May,246
11-May,358
12-May,402
13-May,358
14-May,270
15-May,251
16-May,207
17-May,114
18-May,261
19-May,187
20-May,236
21-May,129
22-May,168
23-May,105
24-May,37
25-May,
