Date,Freq.
29-Jan,10
30-Jan,15
31-Jan,15
01-feb,39
02-feb,29
03-feb,20
04-feb,20
05-feb,25
06-feb,25
07-feb,20
08-feb,10
09-feb,15
10-feb,59
11-feb,25
12-feb,39
13-feb,44
14-feb,64
15-feb,132
16-feb,78
17-feb,127
18-feb,161
19-feb,127
20-feb,390
21-feb,303
22-feb,385
23-feb,527
24-feb,683
25-feb,829
26-feb,790
27-feb,873
28-feb,1175
29-feb,1058
01-mar,2326
02-mar,1887
03-mar,2185
04-mar,1907
05-mar,2565
06-mar,2921
07-mar,3053
08-mar,3526
09-mar,4335
10-mar,5944
11-mar,4169
12-mar,4662
13-mar,5081
14-mar,4530
15-mar,5486
16-mar,5008
17-mar,4106
18-mar,4491
19-mar,3896
20-mar,5739
21-mar,3448
22-mar,3404
23-mar,3994
24-mar,3140
25-mar,3438
26-mar,2858
27-mar,3062
28-mar,2697
29-mar,2087
30-mar,3179
31-mar,2258
01-apr,3618
02-apr,2307
03-apr,2394
04-apr,2029
05-apr,1775
06-apr,2097
07-apr,1912
08-apr,1834
09-apr,1653
10-apr,2360
11-apr,1263
12-apr,1400
13-apr,1307
14-apr,1473
15-apr,1785
16-apr,1400
17-apr,1258
18-apr,1034
19-apr,746
20-apr,1643
21-apr,1005
22-apr,922
23-apr,854
24-apr,819
25-apr,678
26-apr,537
27-apr,951
28-apr,688
29-apr,619
30-apr,600
1-May,473
2-May,361
3-May,249
4-May,410
5-May,439
6-May,424
7-May,395
8-May,429
9-May,190
10-May,210
11-May,283
12-May,303
13-May,254
14-May,185
15-May,137
16-May,132
17-May,64
18-May,117
19-May,54
20-May,20
21-May,
22-May,
