Date,Freq.
29-gen,3
30-gen,
31-gen,
01-feb,
02-feb,
03-feb,
04-feb,
05-feb,
06-feb,
07-feb,
08-feb,
09-feb,
10-feb,
11-feb,
12-feb,
13-feb,
14-feb,
15-feb,
16-feb,
17-feb,
18-feb,
19-feb,
20-feb,3
21-feb,32
22-feb,52
23-feb,71
24-feb,86
25-feb,193
26-feb,276
27-feb,286
28-feb,359
29-feb,369
01-mar,403
02-mar,632
03-mar,813
04-mar,1076
05-mar,1310
06-mar,1550
07-mar,1408
08-mar,1476
09-mar,2233
10-mar,2438
11-mar,2760
12-mar,3150
13-mar,4131
14-mar,3555
15-mar,2862
16-mar,4809
17-mar,5321
18-mar,5672
19-mar,5658
20-mar,6204
21-mar,4867
22-mar,3940
23-mar,6058
24-mar,5868
25-mar,5741
26-mar,5594
27-mar,5707
28-mar,4497
29-mar,2945
30-mar,5077
31-mar,5287
01-apr,4984
02-apr,4672
03-apr,4394
04-apr,3638
05-apr,2594
06-apr,4043
07-apr,4165
08-apr,4745
09-apr,4677
10-apr,5126
11-apr,3389
12-apr,1872
13-apr,2213
14-apr,3238
15-apr,3970
16-apr,3618
17-apr,3462
18-apr,2633
19-apr,1359
20-apr,2994
21-apr,3023
22-apr,2599
23-apr,2818
24-apr,2677
25-apr,1667
26-apr,1008
27-apr,1945
28-apr,2233
29-apr,2272
30-apr,2262
1-May,1101
2-May,988
3-May,496
4-May,1428
5-May,1540
6-May,1403
7-May,1354
8-May,1335
9-May,735
10-May,344
11-May,876
12-May,876
13-May,857
14-May,842
15-May,754
16-May,583
17-mag,271
18-mag,647
19-mag,642
20-mag,579
21-mag,461
22-mag,452
23-mag,110
24-mag,
25-mag,
